Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
29.85136;Right Controller;(14.82, 0.64, 5.56);(359.60, 64.40, 0.00)
29.85136;Left Controller;(14.73, 0.64, 5.74);(0.00, 64.60, 0.00)
29.85136;Rubber Cube;(14.70, 0.59, 5.70);(5.84, 91.59, 15.01);True;Right Hand
30.35184;Right Hand Presence Physics;(14.39, 0.64, 5.36);(359.60, 63.60, 0.00)
30.35184;Left Hand Presence Physics;(14.31, 0.64, 5.54);(0.00, 63.80, 0.00)
30.35184;Right Controller;(14.39, 0.64, 5.36);(359.60, 63.60, 0.00)
30.35184;Left Controller;(14.31, 0.64, 5.54);(0.00, 63.80, 0.00)
30.35184;Rubber Cube;(14.30, 0.59, 5.49);(0.00, 88.55, 0.00);True;Right Hand
30.85983;Right Hand Presence Physics;(14.69, 0.64, 5.51);(359.60, 63.20, 0.00)
30.85983;Left Hand Presence Physics;(14.60, 0.64, 5.69);(0.00, 63.40, 0.00)
30.85983;Right Controller;(14.69, 0.64, 5.51);(359.60, 63.20, 0.00)
30.85983;Left Controller;(14.60, 0.64, 5.69);(0.00, 63.40, 0.00)
30.85983;Rubber Cube;(14.59, 0.59, 5.64);(0.00, 88.15, 0.00);True;Right Hand
31.37313;Right Hand Presence Physics;(14.54, 0.64, 5.50);(359.60, 49.40, 0.00)
31.37313;Left Hand Presence Physics;(14.41, 0.64, 5.65);(0.00, 49.60, 0.00)
31.37313;Right Controller;(14.54, 0.64, 5.50);(359.60, 49.40, 0.00)
31.37313;Left Controller;(14.41, 0.64, 5.65);(0.00, 49.60, 0.00)
31.37313;Rubber Cube;(14.42, 0.59, 5.60);(0.00, 74.35, 0.00);True;Right Hand
31.88724;Right Hand Presence Physics;(13.94, 0.64, 5.53);(359.60, 342.20, 0.00)
31.88724;Left Hand Presence Physics;(13.75, 0.64, 5.47);(0.00, 342.40, 0.00)
31.88724;Right Controller;(13.94, 0.64, 5.53);(359.60, 342.20, 0.00)
31.88724;Left Controller;(13.75, 0.64, 5.47);(0.00, 342.40, 0.00)
31.88724;Rubber Cube;(13.79, 0.59, 5.46);(0.00, 7.15, 0.00);True;Right Hand
32.38726;Right Hand Presence Physics;(13.46, 0.64, 5.37);(359.60, 342.20, 0.00)
32.38726;Left Hand Presence Physics;(13.27, 0.64, 5.31);(0.00, 342.40, 0.00)
32.38726;Right Controller;(13.46, 0.64, 5.37);(359.60, 342.20, 0.00)
32.38726;Left Controller;(13.27, 0.64, 5.31);(0.00, 342.40, 0.00)
32.38726;Rubber Cube;(13.31, 0.59, 5.31);(0.00, 7.15, 0.00);True;Right Hand
32.90104;Right Hand Presence Physics;(12.97, 0.64, 5.22);(359.60, 342.00, 0.00)
32.90104;Left Hand Presence Physics;(12.78, 0.64, 5.16);(0.00, 342.20, 0.00)
32.90104;Right Controller;(12.97, 0.64, 5.22);(359.60, 342.00, 0.00)
32.90104;Left Controller;(12.78, 0.64, 5.16);(0.00, 342.20, 0.00)
32.90104;Rubber Cube;(12.82, 0.59, 5.15);(0.00, 6.95, 0.00);True;Right Hand
33.40977;Right Hand Presence Physics;(12.82, 0.64, 5.13);(359.60, 18.80, 0.00)
33.40977;Left Hand Presence Physics;(12.63, 0.64, 5.19);(0.00, 19.00, 0.00)
33.40977;Right Controller;(12.82, 0.64, 5.13);(359.60, 18.80, 0.00)
33.40977;Left Controller;(12.63, 0.64, 5.19);(0.00, 19.00, 0.00)
33.40977;Rubber Cube;(12.66, 0.59, 5.16);(0.00, 43.70, 0.00);True;Right Hand
33.9187;Right Hand Presence Physics;(12.54, 0.64, 5.29);(359.60, 41.60, 0.00)
33.9187;Left Hand Presence Physics;(12.39, 0.64, 5.42);(0.00, 41.80, 0.00)
33.9187;Right Controller;(12.54, 0.64, 5.29);(359.60, 41.60, 0.00)
33.9187;Left Controller;(12.39, 0.64, 5.42);(0.00, 41.80, 0.00)
33.9187;Rubber Cube;(12.40, 0.59, 5.38);(0.00, 66.55, 0.00);True;Right Hand
34.41985;Right Hand Presence Physics;(12.54, 0.64, 5.29);(359.60, 41.60, 0.00)
34.41985;Left Hand Presence Physics;(12.39, 0.64, 5.42);(0.00, 41.80, 0.00)
34.41985;Right Controller;(12.54, 0.64, 5.29);(359.60, 41.60, 0.00)
34.41985;Left Controller;(12.39, 0.64, 5.42);(0.00, 41.80, 0.00)
34.41985;Rubber Cube;(12.40, 0.59, 5.38);(0.00, 66.55, 0.00);True;Right Hand
34.92074;Right Hand Presence Physics;(12.57, 0.64, 5.20);(359.60, 58.80, 0.00)
34.92074;Left Hand Presence Physics;(12.47, 0.64, 5.37);(0.00, 59.00, 0.00)
34.92074;Right Controller;(12.57, 0.64, 5.20);(359.60, 58.80, 0.00)
34.92074;Left Controller;(12.47, 0.64, 5.37);(0.00, 59.00, 0.00)
34.92074;Rubber Cube;(12.47, 0.59, 5.32);(0.00, 83.75, 0.00);True;Right Hand
35.42168;Right Hand Presence Physics;(12.65, 0.64, 5.11);(359.60, 48.00, 0.00)
35.42168;Left Hand Presence Physics;(12.52, 0.64, 5.26);(0.00, 48.20, 0.00)
35.42168;Right Controller;(12.65, 0.64, 5.11);(359.60, 48.00, 0.00)
35.42168;Left Controller;(12.52, 0.64, 5.26);(0.00, 48.20, 0.00)
35.42168;Rubber Cube;(12.53, 0.59, 5.21);(0.00, 72.95, 0.00);True;Right Hand
35.92355;Right Hand Presence Physics;(12.86, 0.64, 4.91);(359.60, 42.80, 0.00)
35.92355;Left Hand Presence Physics;(12.71, 0.64, 5.05);(0.00, 43.00, 0.00)
35.92355;Right Controller;(12.86, 0.64, 4.91);(359.60, 42.80, 0.00)
35.92355;Left Controller;(12.71, 0.64, 5.05);(0.00, 43.00, 0.00)
35.92355;Rubber Cube;(12.73, 0.59, 5.01);(0.00, 67.75, 0.00);True;Right Hand
36.42424;Right Hand Presence Physics;(12.89, 0.64, 4.84);(359.60, 57.80, 0.00)
36.42424;Left Hand Presence Physics;(12.78, 0.64, 5.01);(0.00, 58.00, 0.00)
36.42424;Right Controller;(12.89, 0.64, 4.84);(359.60, 57.80, 0.00)
36.42424;Left Controller;(12.78, 0.64, 5.01);(0.00, 58.00, 0.00)
36.42424;Rubber Cube;(12.78, 0.59, 4.96);(0.00, 82.63, 0.00);True;Right Hand
36.93468;Right Hand Presence Physics;(12.90, 0.64, 4.78);(359.60, 69.00, 0.00)
36.93468;Left Hand Presence Physics;(12.83, 0.64, 4.96);(0.00, 69.20, 0.00)
36.93468;Right Controller;(12.90, 0.64, 4.78);(359.60, 69.00, 0.00)
36.93468;Left Controller;(12.83, 0.64, 4.96);(0.00, 69.20, 0.00)
36.93468;Rubber Cube;(12.82, 0.59, 4.92);(0.00, 93.95, 0.00);True;Right Hand
37.43586;Right Hand Presence Physics;(12.89, 0.64, 4.81);(359.60, 62.80, 0.00)
37.43586;Left Hand Presence Physics;(12.80, 0.64, 4.99);(0.00, 63.00, 0.00)
37.43586;Right Controller;(12.89, 0.64, 4.81);(359.60, 62.80, 0.00)
37.43586;Left Controller;(12.80, 0.64, 4.99);(0.00, 63.00, 0.00)
37.43586;Rubber Cube;(12.80, 0.59, 4.94);(0.00, 87.75, 0.00);True;Right Hand
37.93586;Right Hand Presence Physics;(12.89, 0.64, 4.82);(359.60, 61.80, 0.00)
37.93586;Left Hand Presence Physics;(12.80, 0.64, 4.99);(0.00, 62.00, 0.00)
37.93586;Right Controller;(12.89, 0.64, 4.82);(359.60, 61.80, 0.00)
37.93586;Left Controller;(12.80, 0.64, 4.99);(0.00, 62.00, 0.00)
37.93586;Rubber Cube;(12.80, 0.59, 4.95);(0.00, 86.75, 0.00);True;Right Hand
38.44154;Right Hand Presence Physics;(12.89, 0.64, 4.82);(359.60, 61.80, 0.00)
38.44154;Left Hand Presence Physics;(12.80, 0.64, 4.99);(0.00, 62.00, 0.00)
38.44154;Right Controller;(12.89, 0.64, 4.82);(359.60, 61.80, 0.00)
38.44154;Left Controller;(12.80, 0.64, 4.99);(0.00, 62.00, 0.00)
38.44154;Rubber Cube;(12.80, 0.59, 4.95);(0.00, 86.75, 0.00);True;Right Hand
38.94177;Right Hand Presence Physics;(12.89, 0.64, 4.82);(359.60, 61.80, 0.00)
38.94177;Left Hand Presence Physics;(12.80, 0.64, 4.99);(0.00, 62.00, 0.00)
38.94177;Right Controller;(12.89, 0.64, 4.82);(359.60, 61.80, 0.00)
38.94177;Left Controller;(12.80, 0.64, 4.99);(0.00, 62.00, 0.00)
38.94177;Rubber Cube;(12.80, 0.59, 4.95);(0.00, 86.75, 0.00);True;Right Hand
39.44232;Right Hand Presence Physics;(12.89, 0.64, 4.82);(359.60, 61.80, 0.00)
39.44232;Left Hand Presence Physics;(12.80, 0.64, 4.99);(0.00, 62.00, 0.00)
39.44232;Right Controller;(12.89, 0.64, 4.82);(359.60, 61.80, 0.00)
39.44232;Left Controller;(12.80, 0.64, 4.99);(0.00, 62.00, 0.00)
39.44232;Rubber Cube;(12.80, 0.59, 4.95);(0.00, 86.75, 0.00);True;Right Hand
39.8166;Rubber Cube;(12.91, 0.59, 5.01);(0.00, 86.75, 0.00);False;
39.95495;Right Hand Presence Physics;(13.31, 0.64, 5.04);(359.60, 61.80, 0.00)
39.95495;Left Hand Presence Physics;(13.22, 0.64, 5.22);(0.00, 62.00, 0.00)
39.95495;Right Controller;(13.35, 0.65, 5.06);(359.60, 61.80, 0.00)
39.95495;Left Controller;(13.25, 0.65, 5.23);(0.00, 62.00, 0.00)
39.95495;Rubber Cube;(13.26, 0.60, 5.09);(0.00, 86.75, 0.00);False;
40.45825;Right Hand Presence Physics;(14.42, 0.64, 5.63);(359.60, 61.80, 0.00)
40.45825;Left Hand Presence Physics;(14.33, 0.64, 5.81);(0.00, 62.00, 0.00)
40.45825;Right Controller;(14.46, 0.65, 5.65);(359.60, 61.80, 0.00)
40.45825;Left Controller;(14.36, 0.65, 5.82);(0.00, 62.00, 0.00)
40.45825;Rubber Cube;(14.37, 0.60, 5.67);(0.00, 86.75, 0.00);False;
40.9648;Right Hand Presence Physics;(14.60, 0.64, 5.72);(359.60, 61.80, 0.00)
40.9648;Left Hand Presence Physics;(14.51, 0.64, 5.90);(0.00, 62.00, 0.00)
40.9648;Right Controller;(14.57, 0.65, 5.71);(359.60, 61.80, 0.00)
40.9648;Left Controller;(14.47, 0.65, 5.88);(0.00, 62.00, 0.00)
40.9648;Rubber Cube;(14.55, 0.60, 5.77);(0.00, 86.75, 0.00);False;
41.46549;Right Hand Presence Physics;(13.65, 0.64, 5.22);(359.60, 61.80, 0.00)
41.46549;Left Hand Presence Physics;(13.56, 0.64, 5.40);(0.00, 62.00, 0.00)
41.46549;Right Controller;(13.65, 0.65, 5.22);(359.60, 61.80, 0.00)
41.46549;Left Controller;(13.56, 0.65, 5.40);(0.00, 62.00, 0.00)
41.46549;Rubber Cube;(13.60, 0.60, 5.27);(0.00, 86.75, 0.00);False;
41.96757;Right Hand Presence Physics;(13.70, 0.64, 5.25);(359.60, 61.80, 0.00)
41.96757;Left Hand Presence Physics;(13.61, 0.64, 5.42);(0.00, 62.00, 0.00)
41.96757;Right Controller;(13.73, 0.65, 5.26);(359.60, 61.80, 0.00)
41.96757;Left Controller;(13.64, 0.65, 5.44);(0.00, 62.00, 0.00)
41.96757;Rubber Cube;(13.64, 0.60, 5.29);(0.00, 86.75, 0.00);False;
42.1044;Rubber Cube;(13.95, 0.60, 5.45);(0.00, 86.75, 0.00);False;
42.48029;Right Hand Presence Physics;(14.13, 0.64, 5.70);(350.80, 175.39, 0.00)
42.48029;Left Hand Presence Physics;(14.23, 0.74, 5.86);(307.98, 197.29, 84.43)
42.48029;Right Controller;(14.09, 0.65, 5.68);(350.80, 240.80, 0.00)
42.48029;Left Controller;(14.19, 0.65, 5.50);(0.00, 242.00, 0.00)
42.48029;Rubber Cube;(14.68, 0.14, 5.87);(5.98, 114.91, 10.12);False;
42.98733;Right Hand Presence Physics;(13.19, 0.64, 5.15);(353.40, 248.04, 0.00)
42.98733;Left Hand Presence Physics;(13.25, 0.64, 5.08);(0.00, 249.98, 0.00)
42.98733;Right Controller;(13.66, 0.65, 5.23);(353.40, 60.40, 0.00)
42.98733;Left Controller;(13.57, 0.65, 5.40);(0.00, 62.00, 0.00)
42.98733;Rubber Cube;(14.22, 0.06, 6.07);(356.60, 252.63, 352.60);False;
43.50072;Right Hand Presence Physics;(13.88, 0.60, 5.36);(35.46, 184.35, 139.34)
43.50072;Left Hand Presence Physics;(13.89, 0.67, 5.30);(322.04, 46.57, 26.76)
43.50072;Right Controller;(14.45, 0.67, 5.38);(353.40, 60.40, 0.00)
43.50072;Left Controller;(14.36, 0.67, 5.56);(0.00, 62.00, 0.00)
43.50072;Rubber Cube;(14.26, 0.05, 5.42);(359.05, 324.37, 1.03);False;
44.00086;Right Hand Presence Physics;(13.67, 0.64, 5.10);(52.69, 211.13, 171.26)
44.00086;Left Hand Presence Physics;(13.68, 0.67, 5.01);(318.64, 353.46, 66.31)
44.00086;Right Controller;(13.28, 0.65, 4.76);(36.40, 162.20, 0.00)
44.00086;Left Controller;(13.38, 0.65, 4.59);(0.00, 242.00, 0.00)
44.00086;Rubber Cube;(14.40, 0.05, 5.35);(359.27, 322.37, 359.41);False;
44.51165;Right Hand Presence Physics;(12.15, 0.64, 4.09);(30.00, 174.60, 0.00)
44.51165;Left Hand Presence Physics;(12.25, 0.64, 3.92);(0.00, 242.00, 0.00)
44.51165;Right Controller;(12.12, 0.65, 4.07);(30.00, 174.60, 0.00)
44.51165;Left Controller;(12.21, 0.65, 3.90);(0.00, 242.00, 0.00)
44.51165;Rubber Cube;(14.54, 0.05, 5.33);(359.35, 321.99, 359.38);False;
45.01279;Right Hand Presence Physics;(11.04, 0.64, 3.50);(30.00, 174.60, 0.00)
45.01279;Left Hand Presence Physics;(11.14, 0.64, 3.33);(0.00, 242.00, 0.00)
45.01279;Right Controller;(11.01, 0.65, 3.49);(30.00, 174.60, 0.00)
45.01279;Left Controller;(11.11, 0.65, 3.31);(0.00, 242.00, 0.00)
45.01279;Rubber Cube;(14.61, 0.05, 5.32);(359.36, 321.48, 359.38);False;
45.52152;Right Hand Presence Physics;(9.92, 0.64, 2.91);(30.00, 174.80, 0.00)
45.52152;Left Hand Presence Physics;(10.01, 0.64, 2.73);(0.00, 242.20, 0.00)
45.52152;Right Controller;(9.89, 0.65, 2.89);(30.00, 174.80, 0.00)
45.52152;Left Controller;(9.98, 0.65, 2.71);(0.00, 242.20, 0.00)
45.52152;Rubber Cube;(14.63, 0.05, 5.31);(359.44, 320.95, 359.46);False;
46.02183;Right Hand Presence Physics;(8.83, 0.64, 2.94);(30.00, 210.80, 0.00)
46.02183;Left Hand Presence Physics;(8.80, 0.64, 2.74);(0.00, 278.20, 0.00)
46.02183;Right Controller;(8.79, 0.65, 2.94);(30.00, 210.80, 0.00)
46.02183;Left Controller;(8.76, 0.65, 2.74);(0.00, 278.20, 0.00)
46.02183;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
46.53141;Right Hand Presence Physics;(8.94, 0.64, 3.69);(30.00, 308.80, 0.00)
46.53141;Left Hand Presence Physics;(8.75, 0.64, 3.75);(0.00, 16.20, 0.00)
46.53141;Right Controller;(8.96, 0.65, 3.73);(30.00, 308.80, 0.00)
46.53141;Left Controller;(8.76, 0.65, 3.78);(0.00, 16.20, 0.00)
46.53141;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
47.04096;Right Hand Presence Physics;(10.05, 0.64, 4.30);(30.00, 348.00, 0.00)
47.04096;Left Hand Presence Physics;(9.94, 0.64, 4.47);(0.00, 55.40, 0.00)
47.04096;Right Controller;(10.08, 0.65, 4.32);(30.00, 348.00, 0.00)
47.04096;Left Controller;(9.97, 0.65, 4.49);(0.00, 55.40, 0.00)
47.04096;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
47.54169;Right Hand Presence Physics;(10.63, 0.64, 5.47);(30.00, 310.40, 0.00)
47.54169;Left Hand Presence Physics;(10.44, 0.64, 5.53);(0.00, 17.80, 0.00)
47.54169;Right Controller;(10.64, 0.65, 5.51);(30.00, 310.40, 0.00)
47.54169;Left Controller;(10.45, 0.65, 5.57);(0.00, 17.80, 0.00)
47.54169;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
48.0423;Right Hand Presence Physics;(9.65, 0.64, 5.56);(30.00, 181.00, 0.00)
48.0423;Left Hand Presence Physics;(9.72, 0.64, 5.38);(359.80, 242.80, 0.00)
48.0423;Right Controller;(9.65, 0.65, 5.56);(30.00, 181.00, 0.00)
48.0423;Left Controller;(9.72, 0.65, 5.38);(359.80, 242.80, 0.00)
48.0423;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
48.55008;Right Hand Presence Physics;(9.99, 0.64, 5.70);(30.00, 181.00, 0.00)
48.55008;Left Hand Presence Physics;(10.07, 0.64, 5.52);(353.80, 293.20, 0.00)
48.55008;Right Controller;(10.03, 0.65, 5.72);(30.00, 181.00, 0.00)
48.55008;Left Controller;(10.10, 0.65, 5.53);(353.80, 293.20, 0.00)
48.55008;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
49.05055;Right Hand Presence Physics;(10.07, 0.64, 5.73);(30.01, 181.00, 0.00)
49.05055;Left Hand Presence Physics;(10.15, 0.64, 5.55);(354.60, 300.00, 0.00)
49.05055;Right Controller;(10.07, 0.65, 5.73);(30.00, 181.00, 0.00)
49.05055;Left Controller;(10.15, 0.65, 5.55);(354.60, 300.00, 0.00)
49.05055;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
49.55174;Right Hand Presence Physics;(10.07, 0.64, 5.73);(30.01, 181.00, 0.00)
49.55174;Left Hand Presence Physics;(10.15, 0.64, 5.55);(354.60, 300.00, 0.00)
49.55174;Right Controller;(10.07, 0.65, 5.73);(30.00, 181.00, 0.00)
49.55174;Left Controller;(10.15, 0.65, 5.55);(354.60, 300.00, 0.00)
49.55174;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
50.0657;Right Hand Presence Physics;(10.63, 0.64, 5.84);(30.00, 331.40, 0.00)
50.0657;Left Hand Presence Physics;(10.48, 0.64, 5.96);(354.60, 90.40, 0.00)
50.0657;Right Controller;(10.63, 0.65, 5.84);(30.00, 331.40, 0.00)
50.0657;Left Controller;(10.48, 0.65, 5.96);(354.60, 90.40, 0.00)
50.0657;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
50.5771;Right Hand Presence Physics;(10.41, 0.64, 5.98);(30.00, 282.20, 0.00)
50.5771;Left Hand Presence Physics;(10.22, 0.64, 5.94);(354.60, 41.20, 0.00)
50.5771;Right Controller;(10.41, 0.65, 5.98);(30.00, 282.20, 0.00)
50.5771;Left Controller;(10.22, 0.65, 5.94);(354.60, 41.20, 0.00)
50.5771;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
51.08456;Right Hand Presence Physics;(11.36, 0.64, 5.65);(30.00, 312.40, 0.00)
51.08456;Left Hand Presence Physics;(11.17, 0.64, 5.72);(2.80, 96.80, 0.00)
51.08456;Right Controller;(11.40, 0.65, 5.64);(30.00, 312.40, 0.00)
51.08456;Left Controller;(11.21, 0.65, 5.71);(2.80, 96.80, 0.00)
51.08456;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
51.58483;Right Hand Presence Physics;(11.43, 0.64, 5.62);(30.00, 312.40, 0.00)
51.58483;Left Hand Presence Physics;(11.25, 0.64, 5.69);(4.80, 112.00, 0.00)
51.58483;Right Controller;(11.43, 0.65, 5.62);(30.00, 312.40, 0.00)
51.58483;Left Controller;(11.25, 0.65, 5.69);(4.80, 112.00, 0.00)
51.58483;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
52.0854;Right Hand Presence Physics;(11.43, 0.64, 5.62);(20.20, 221.00, 0.00)
52.0854;Left Hand Presence Physics;(11.25, 0.64, 5.69);(4.80, 112.00, 0.00)
52.0854;Right Controller;(11.43, 0.65, 5.62);(20.20, 221.00, 0.00)
52.0854;Left Controller;(11.25, 0.65, 5.69);(4.80, 112.00, 0.00)
52.0854;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
52.58584;Right Hand Presence Physics;(11.43, 0.64, 5.62);(20.20, 221.00, 0.00)
52.58584;Left Hand Presence Physics;(11.25, 0.64, 5.69);(5.20, 114.80, 0.00)
52.58584;Right Controller;(11.43, 0.65, 5.62);(20.20, 221.00, 0.00)
52.58584;Left Controller;(11.25, 0.65, 5.69);(5.20, 114.80, 0.00)
52.58584;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
53.08643;Right Hand Presence Physics;(11.43, 0.64, 5.62);(20.20, 221.00, 0.00)
53.08643;Left Hand Presence Physics;(11.25, 0.64, 5.69);(274.00, 17.20, 0.00)
53.08643;Right Controller;(11.43, 0.65, 5.62);(20.20, 221.00, 0.00)
53.08643;Left Controller;(11.25, 0.65, 5.69);(274.00, 17.00, 0.00)
53.08643;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
53.5873;Right Hand Presence Physics;(11.43, 0.64, 5.62);(20.20, 221.00, 0.00)
53.5873;Left Hand Presence Physics;(11.25, 0.64, 5.69);(280.40, 37.00, 0.00)
53.5873;Right Controller;(11.43, 0.65, 5.62);(20.20, 221.00, 0.00)
53.5873;Left Controller;(11.25, 0.65, 5.69);(281.40, 38.40, 0.00)
53.5873;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
54.08839;Right Hand Presence Physics;(11.43, 0.64, 5.62);(20.20, 221.00, 0.00)
54.08839;Left Hand Presence Physics;(11.25, 0.64, 5.69);(315.40, 66.00, 0.00)
54.08839;Right Controller;(11.43, 0.65, 5.62);(20.20, 221.00, 0.00)
54.08839;Left Controller;(11.25, 0.65, 5.69);(315.40, 66.00, 0.00)
54.08839;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
54.59037;Right Hand Presence Physics;(11.43, 0.64, 5.62);(20.20, 221.00, 0.00)
54.59037;Left Hand Presence Physics;(11.25, 0.64, 5.69);(315.40, 66.00, 0.00)
54.59037;Right Controller;(11.43, 0.65, 5.62);(20.20, 221.00, 0.00)
54.59037;Left Controller;(11.25, 0.65, 5.69);(315.40, 66.00, 0.00)
54.59037;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
55.09055;Right Hand Presence Physics;(11.39, 0.64, 5.46);(20.20, 227.60, 0.00)
55.09055;Left Hand Presence Physics;(11.21, 0.64, 5.55);(315.40, 72.60, 0.00)
55.09055;Right Controller;(11.39, 0.65, 5.46);(20.20, 227.60, 0.00)
55.09055;Left Controller;(11.21, 0.65, 5.55);(315.40, 72.60, 0.00)
55.09055;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
55.59057;Right Hand Presence Physics;(11.39, 0.64, 5.46);(20.20, 227.60, 0.00)
55.59057;Left Hand Presence Physics;(11.21, 0.64, 5.55);(315.40, 72.60, 0.00)
55.59057;Right Controller;(11.39, 0.65, 5.46);(20.20, 227.60, 0.00)
55.59057;Left Controller;(11.21, 0.65, 5.55);(315.40, 72.60, 0.00)
55.59057;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
56.10546;Right Hand Presence Physics;(11.41, 0.47, 4.86);(20.20, 315.80, 0.00)
56.10546;Left Hand Presence Physics;(11.49, 0.47, 5.05);(315.40, 160.80, 0.00)
56.10546;Right Controller;(11.41, 0.47, 4.86);(20.20, 315.80, 0.00)
56.10546;Left Controller;(11.49, 0.47, 5.05);(315.40, 160.80, 0.00)
56.10546;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
56.60729;Right Hand Presence Physics;(11.96, 0.47, 4.96);(20.20, 283.40, 0.00)
56.60729;Left Hand Presence Physics;(11.93, 0.47, 5.16);(315.40, 128.40, 0.00)
56.60729;Right Controller;(11.97, 0.47, 4.96);(20.20, 283.40, 0.00)
56.60729;Left Controller;(11.95, 0.47, 5.16);(315.40, 128.40, 0.00)
56.60729;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
57.11637;Right Hand Presence Physics;(12.46, 0.38, 4.96);(20.20, 288.80, 0.00)
57.11637;Left Hand Presence Physics;(12.45, 0.38, 5.16);(315.40, 133.80, 0.00)
57.11637;Right Controller;(12.46, 0.38, 4.96);(20.20, 288.80, 0.00)
57.11637;Left Controller;(12.45, 0.38, 5.16);(315.40, 133.80, 0.00)
57.11637;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
57.61881;Right Hand Presence Physics;(12.96, 0.38, 5.03);(20.20, 284.60, 0.00)
57.61881;Left Hand Presence Physics;(12.94, 0.38, 5.23);(315.40, 129.60, 0.00)
57.61881;Right Controller;(12.98, 0.37, 5.03);(20.20, 284.60, 0.00)
57.61881;Left Controller;(12.96, 0.37, 5.23);(315.40, 129.60, 0.00)
57.61881;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
58.13017;Right Hand Presence Physics;(13.48, 0.28, 5.09);(20.20, 284.60, 0.00)
58.13017;Left Hand Presence Physics;(13.45, 0.28, 5.29);(315.40, 129.60, 0.00)
58.13017;Right Controller;(13.48, 0.28, 5.09);(20.20, 284.60, 0.00)
58.13017;Left Controller;(13.45, 0.28, 5.29);(315.40, 129.60, 0.00)
58.13017;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
58.63225;Right Hand Presence Physics;(13.97, 0.28, 5.15);(20.20, 284.60, 0.00)
58.63225;Left Hand Presence Physics;(13.95, 0.28, 5.35);(315.40, 129.60, 0.00)
58.63225;Right Controller;(13.99, 0.28, 5.15);(20.20, 284.60, 0.00)
58.63225;Left Controller;(13.96, 0.28, 5.35);(315.40, 129.60, 0.00)
58.63225;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
59.13471;Right Hand Presence Physics;(14.47, 0.28, 5.20);(20.20, 284.60, 0.00)
59.13471;Left Hand Presence Physics;(14.45, 0.28, 5.40);(315.40, 129.60, 0.00)
59.13471;Right Controller;(14.47, 0.28, 5.20);(20.20, 284.60, 0.00)
59.13471;Left Controller;(14.45, 0.28, 5.40);(315.40, 129.60, 0.00)
59.13471;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
59.63597;Right Hand Presence Physics;(14.47, 0.28, 5.20);(20.20, 284.60, 0.00)
59.63597;Left Hand Presence Physics;(14.45, 0.28, 5.40);(315.41, 129.61, 359.99)
59.63597;Right Controller;(14.47, 0.28, 5.20);(20.20, 284.60, 0.00)
59.63597;Left Controller;(14.45, 0.28, 5.40);(315.40, 129.60, 0.00)
59.63597;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
60.14294;Right Hand Presence Physics;(14.65, 0.27, 5.26);(45.28, 329.39, 1.87)
60.14294;Left Hand Presence Physics;(14.68, 0.28, 5.43);(315.14, 131.07, 0.10)
60.14294;Right Controller;(14.74, 0.28, 5.23);(20.20, 284.60, 0.00)
60.14294;Left Controller;(14.71, 0.28, 5.43);(315.40, 129.60, 0.00)
60.14294;Rubber Cube;(14.63, 0.05, 5.31);(359.67, 320.93, 359.71);False;
