Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
30.06842;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
30.06842;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
30.56874;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
30.56874;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
30.56874;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
30.56874;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
30.56874;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
31.06938;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
31.06938;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
31.06938;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
31.06938;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
31.06938;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
31.57056;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
31.57056;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
31.57056;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
31.57056;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
31.57056;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
32.07124;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
32.07124;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
32.07124;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
32.07124;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
32.07124;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
32.57141;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
32.57141;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
32.57141;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
32.57141;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
32.57141;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
33.07171;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
33.07171;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
33.07171;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
33.07171;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
33.07171;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
33.5721;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
33.5721;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
33.5721;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
33.5721;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
33.5721;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
34.07347;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
34.07347;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
34.07347;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
34.07347;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
34.07347;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
34.57375;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
34.57375;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
34.57375;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
34.57375;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
34.57375;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
35.07469;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
35.07469;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
35.07469;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
35.07469;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
35.07469;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
35.57542;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
35.57542;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
35.57542;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
35.57542;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
35.57542;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
36.07572;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
36.07572;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
36.07572;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
36.07572;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
36.07572;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
36.57592;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
36.57592;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
36.57592;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
36.57592;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
36.57592;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
37.0774;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
37.0774;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
37.0774;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
37.0774;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
37.0774;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
37.57888;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
37.57888;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
37.57888;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
37.57888;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
37.57888;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
38.07925;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
38.07925;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
38.07925;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
38.07925;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
38.07925;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
38.58034;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
38.58034;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
38.58034;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
38.58034;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
38.58034;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
39.0814;Right Hand Presence Physics;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
39.0814;Left Hand Presence Physics;(-0.10, 1.31, 0.30);(0.00, 0.00, 359.99)
39.0814;Right Controller;(0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
39.0814;Left Controller;(-0.10, 1.31, 0.30);(0.00, 0.00, 0.00)
39.0814;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
39.58221;Right Hand Presence Physics;(0.25, 1.31, 0.19);(0.00, 34.40, 0.00)
39.58221;Left Hand Presence Physics;(0.09, 1.31, 0.30);(0.00, 34.40, 0.00)
39.58221;Right Controller;(0.25, 1.31, 0.19);(0.00, 34.40, 0.00)
39.58221;Left Controller;(0.09, 1.31, 0.30);(0.00, 34.40, 0.00)
39.58221;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
40.08347;Right Hand Presence Physics;(0.13, 1.31, 0.29);(0.00, 5.80, 0.00)
40.08347;Left Hand Presence Physics;(-0.07, 1.31, 0.31);(0.00, 5.80, 0.00)
40.08347;Right Controller;(0.13, 1.31, 0.29);(0.00, 5.80, 0.00)
40.08347;Left Controller;(-0.07, 1.31, 0.31);(0.00, 5.80, 0.00)
40.08347;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
40.58397;Right Hand Presence Physics;(0.02, 1.31, 0.32);(0.00, 346.00, 0.00)
40.58397;Left Hand Presence Physics;(-0.17, 1.31, 0.27);(0.00, 346.00, 0.00)
40.58397;Right Controller;(0.02, 1.31, 0.32);(0.00, 346.00, 0.00)
40.58397;Left Controller;(-0.17, 1.31, 0.27);(0.00, 346.00, 0.00)
40.58397;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
41.08427;Right Hand Presence Physics;(0.03, 1.31, 0.31);(0.00, 347.00, 0.00)
41.08427;Left Hand Presence Physics;(-0.16, 1.31, 0.27);(0.00, 347.00, 0.00)
41.08427;Right Controller;(0.03, 1.31, 0.31);(0.00, 347.00, 0.00)
41.08427;Left Controller;(-0.16, 1.31, 0.27);(0.00, 347.00, 0.00)
41.08427;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
41.58557;Right Hand Presence Physics;(0.03, 1.31, 0.31);(0.00, 347.00, 0.00)
41.58557;Left Hand Presence Physics;(-0.16, 1.31, 0.27);(0.00, 347.00, 0.00)
41.58557;Right Controller;(0.03, 1.31, 0.31);(0.00, 347.00, 0.00)
41.58557;Left Controller;(-0.16, 1.31, 0.27);(0.00, 347.00, 0.00)
41.58557;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
42.08699;Right Hand Presence Physics;(0.03, 1.31, 0.31);(0.00, 347.00, 0.00)
42.08699;Left Hand Presence Physics;(-0.16, 1.31, 0.27);(0.00, 347.00, 0.00)
42.08699;Right Controller;(0.03, 1.31, 0.31);(0.00, 347.00, 0.00)
42.08699;Left Controller;(-0.16, 1.31, 0.27);(0.00, 347.00, 0.00)
42.08699;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
42.58712;Right Hand Presence Physics;(0.08, 1.31, 0.31);(0.00, 355.20, 0.00)
42.58712;Left Hand Presence Physics;(-0.12, 1.31, 0.29);(0.00, 355.20, 0.00)
42.58712;Right Controller;(0.08, 1.31, 0.31);(0.00, 356.80, 0.00)
42.58712;Left Controller;(-0.12, 1.31, 0.29);(0.00, 356.80, 0.00)
42.58712;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
43.08782;Right Hand Presence Physics;(0.25, 1.31, 0.20);(0.00, 32.60, 0.00)
43.08782;Left Hand Presence Physics;(0.08, 1.31, 0.30);(0.00, 32.60, 0.00)
43.08782;Right Controller;(0.26, 1.31, 0.19);(0.00, 35.60, 0.00)
43.08782;Left Controller;(0.09, 1.31, 0.30);(0.00, 35.60, 0.00)
43.08782;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
43.58881;Right Hand Presence Physics;(0.25, 1.31, -0.19);(0.00, 108.20, 0.00)
43.58881;Left Hand Presence Physics;(0.32, 1.31, 0.00);(0.00, 108.20, 0.00)
43.58881;Right Controller;(0.25, 1.31, -0.19);(0.00, 108.20, 0.00)
43.58881;Left Controller;(0.32, 1.31, 0.00);(0.00, 108.20, 0.00)
43.58881;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
44.08904;Right Hand Presence Physics;(0.31, 1.31, 0.03);(0.00, 65.60, 0.00)
44.08904;Left Hand Presence Physics;(0.23, 1.31, 0.22);(0.00, 65.60, 0.00)
44.08904;Right Controller;(0.31, 1.31, 0.04);(0.00, 64.60, 0.00)
44.08904;Left Controller;(0.23, 1.31, 0.22);(0.00, 64.60, 0.00)
44.08904;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
44.59924;Right Hand Presence Physics;(0.28, 1.31, 0.59);(0.00, 6.80, 0.00)
44.59924;Left Hand Presence Physics;(0.08, 1.31, 0.62);(0.00, 6.80, 0.00)
44.59924;Right Controller;(0.28, 1.31, 0.59);(0.00, 6.80, 0.00)
44.59924;Left Controller;(0.08, 1.31, 0.61);(0.00, 6.80, 0.00)
44.59924;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
45.10031;Right Hand Presence Physics;(0.27, 1.31, 1.21);(0.00, 335.60, 0.00)
45.10031;Left Hand Presence Physics;(0.09, 1.31, 1.13);(0.00, 335.60, 0.00)
45.10031;Right Controller;(0.27, 1.31, 1.21);(0.00, 335.60, 0.00)
45.10031;Left Controller;(0.09, 1.31, 1.13);(0.00, 335.60, 0.00)
45.10031;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
45.61226;Right Hand Presence Physics;(-0.21, 1.31, 2.27);(0.00, 335.60, 0.00)
45.61226;Left Hand Presence Physics;(-0.39, 1.31, 2.18);(359.20, 354.20, 0.00)
45.61226;Right Controller;(-0.23, 1.31, 2.30);(0.00, 335.60, 0.00)
45.61226;Left Controller;(-0.41, 1.31, 2.22);(359.20, 354.20, 0.00)
45.61226;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
46.11375;Right Hand Presence Physics;(-0.31, 1.31, 2.49);(0.00, 335.60, 0.00)
46.11375;Left Hand Presence Physics;(-0.49, 1.31, 2.41);(343.80, 28.00, 0.00)
46.11375;Right Controller;(-0.31, 1.31, 2.49);(0.00, 335.60, 0.00)
46.11375;Left Controller;(-0.49, 1.31, 2.41);(343.80, 28.20, 0.00)
46.11375;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
46.61389;Right Hand Presence Physics;(-0.31, 1.31, 2.49);(0.20, 335.40, 0.00)
46.61389;Left Hand Presence Physics;(-0.49, 1.31, 2.41);(343.00, 26.00, 0.00)
46.61389;Right Controller;(-0.31, 1.31, 2.49);(0.20, 335.40, 0.00)
46.61389;Left Controller;(-0.49, 1.31, 2.41);(343.00, 26.00, 0.00)
46.61389;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
47.11538;Right Hand Presence Physics;(-0.28, 1.31, 2.49);(0.20, 341.00, 0.00)
47.11538;Left Hand Presence Physics;(-0.47, 1.31, 2.43);(343.00, 31.60, 0.00)
47.11538;Right Controller;(-0.28, 1.31, 2.49);(0.20, 341.20, 0.00)
47.11538;Left Controller;(-0.47, 1.31, 2.43);(343.00, 31.80, 0.00)
47.11538;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
47.63252;Right Hand Presence Physics;(0.14, 1.07, 2.82);(0.20, 347.40, 0.00)
47.63252;Left Hand Presence Physics;(-0.06, 1.07, 2.78);(343.00, 38.00, 0.00)
47.63252;Right Controller;(0.14, 1.08, 2.82);(0.20, 347.40, 0.00)
47.63252;Left Controller;(-0.06, 1.08, 2.78);(343.00, 38.00, 0.00)
47.63252;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
48.14215;Right Hand Presence Physics;(0.18, 0.92, 3.30);(0.20, 6.40, 0.00)
48.14215;Left Hand Presence Physics;(-0.01, 0.92, 3.33);(343.00, 57.00, 0.00)
48.14215;Right Controller;(0.18, 0.92, 3.30);(0.20, 6.40, 0.00)
48.14215;Left Controller;(-0.01, 0.92, 3.33);(343.00, 57.00, 0.00)
48.14215;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
48.6509;Right Hand Presence Physics;(0.01, 0.83, 3.83);(0.20, 337.80, 0.00)
48.6509;Left Hand Presence Physics;(-0.17, 0.83, 3.76);(343.00, 28.40, 0.00)
48.6509;Right Controller;(0.01, 0.83, 3.83);(0.20, 337.80, 0.00)
48.6509;Left Controller;(-0.17, 0.83, 3.76);(343.00, 28.40, 0.00)
48.6509;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
49.15612;Right Hand Presence Physics;(0.04, 0.83, 4.32);(0.20, 356.60, 0.00)
49.15612;Left Hand Presence Physics;(-0.16, 0.83, 4.31);(343.00, 47.20, 0.00)
49.15612;Right Controller;(0.04, 0.83, 4.32);(0.20, 356.60, 0.00)
49.15612;Left Controller;(-0.16, 0.83, 4.31);(343.00, 47.20, 0.00)
49.15612;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
49.65762;Right Hand Presence Physics;(0.00, 0.75, 4.82);(0.20, 355.00, 0.00)
49.65762;Left Hand Presence Physics;(-0.20, 0.75, 4.80);(343.00, 45.60, 0.00)
49.65762;Right Controller;(0.00, 0.75, 4.82);(0.20, 355.00, 0.00)
49.65762;Left Controller;(-0.20, 0.75, 4.80);(343.00, 45.60, 0.00)
49.65762;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
50.15902;Right Hand Presence Physics;(-0.04, 0.74, 5.32);(0.20, 355.00, 0.00)
50.15902;Left Hand Presence Physics;(-0.24, 0.74, 5.30);(343.00, 45.60, 0.00)
50.15902;Right Controller;(-0.04, 0.74, 5.32);(0.20, 355.00, 0.00)
50.15902;Left Controller;(-0.24, 0.74, 5.30);(343.00, 45.60, 0.00)
50.15902;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
50.65951;Right Hand Presence Physics;(-0.04, 0.74, 5.46);(0.20, 357.60, 0.00)
50.65951;Left Hand Presence Physics;(-0.24, 0.74, 5.45);(343.00, 48.20, 0.00)
50.65951;Right Controller;(-0.04, 0.74, 5.46);(0.20, 357.60, 0.00)
50.65951;Left Controller;(-0.24, 0.74, 5.45);(343.00, 48.20, 0.00)
50.65951;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
51.16028;Right Hand Presence Physics;(-0.04, 0.74, 5.59);(0.20, 358.00, 0.00)
51.16028;Left Hand Presence Physics;(-0.24, 0.74, 5.59);(343.00, 48.60, 0.00)
51.16028;Right Controller;(-0.04, 0.74, 5.59);(0.20, 358.00, 0.00)
51.16028;Left Controller;(-0.24, 0.74, 5.59);(343.00, 48.60, 0.00)
51.16028;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
51.66137;Right Hand Presence Physics;(-0.02, 0.74, 5.58);(0.20, 2.40, 0.00)
51.66137;Left Hand Presence Physics;(-0.22, 0.74, 5.59);(343.00, 53.00, 0.00)
51.66137;Right Controller;(-0.02, 0.74, 5.58);(0.20, 2.40, 0.00)
51.66137;Left Controller;(-0.22, 0.74, 5.59);(343.00, 53.00, 0.00)
51.66137;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);False;
52.15619;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Left Hand
52.17606;Right Hand Presence Physics;(-0.01, 0.74, 5.58);(0.20, 3.20, 0.00)
52.17606;Left Hand Presence Physics;(-0.21, 0.74, 5.59);(347.20, 53.80, 0.00)
52.17606;Right Controller;(-0.01, 0.74, 5.58);(0.20, 3.20, 0.00)
52.17606;Left Controller;(-0.21, 0.74, 5.59);(347.20, 53.80, 0.00)
52.17606;Rubber Cube;(-0.11, 0.55, 5.65);(0.00, 0.00, 0.00);True;Left Hand
52.26285;Rubber Cube;(-0.16, 0.69, 5.64);(0.58, 0.00, 359.21);False;
52.67657;Right Hand Presence Physics;(-0.01, 0.74, 5.58);(0.20, 3.20, 0.00)
52.67657;Left Hand Presence Physics;(-0.21, 0.74, 5.59);(348.20, 53.80, 0.00)
52.67657;Right Controller;(-0.01, 0.74, 5.58);(0.20, 3.20, 0.00)
52.67657;Left Controller;(-0.21, 0.74, 5.59);(348.20, 53.80, 0.00)
52.67657;Rubber Cube;(-0.16, 0.55, 5.64);(0.00, 0.01, 0.00);False;
52.79113;Rubber Cube;(-0.16, 0.55, 5.64);(0.00, 0.01, 0.00);True;Left Hand
53.17705;Right Hand Presence Physics;(-0.01, 0.74, 5.58);(0.20, 3.20, 0.00)
53.17705;Left Hand Presence Physics;(-0.21, 0.74, 5.59);(348.20, 52.40, 0.00)
53.17705;Right Controller;(-0.01, 0.74, 5.58);(0.20, 3.20, 0.00)
53.17705;Left Controller;(-0.21, 0.74, 5.59);(348.20, 52.40, 0.00)
53.17705;Rubber Cube;(-0.17, 0.69, 5.64);(0.00, 358.61, 0.00);True;Left Hand
53.67841;Right Hand Presence Physics;(-0.01, 0.74, 5.58);(0.20, 3.20, 0.00)
53.67841;Left Hand Presence Physics;(-0.21, 0.74, 5.59);(339.40, 127.00, 0.00)
53.67841;Right Controller;(-0.01, 0.74, 5.58);(0.20, 3.20, 0.00)
53.67841;Left Controller;(-0.21, 0.74, 5.59);(339.40, 127.00, 0.00)
53.67841;Rubber Cube;(-0.15, 0.70, 5.56);(354.81, 72.89, 7.12);True;Left Hand
54.17867;Right Hand Presence Physics;(-0.01, 0.74, 5.58);(0.20, 3.20, 0.00)
54.17867;Left Hand Presence Physics;(-0.21, 0.74, 5.59);(334.20, 61.80, 0.00)
54.17867;Right Controller;(-0.01, 0.74, 5.58);(0.20, 3.20, 0.00)
54.17867;Left Controller;(-0.21, 0.74, 5.59);(334.20, 61.80, 0.00)
54.17867;Rubber Cube;(-0.15, 0.71, 5.64);(351.78, 7.22, 11.37);True;Left Hand
54.4373;Rubber Cube;(-0.15, 0.71, 5.64);(351.78, 7.19, 11.37);True;Right Hand
54.67983;Right Hand Presence Physics;(-0.01, 0.74, 5.58);(0.19, 3.20, 0.00)
54.67983;Left Hand Presence Physics;(-0.21, 0.74, 5.59);(334.20, 61.80, 0.00)
54.67983;Right Controller;(-0.01, 0.74, 5.58);(0.20, 3.20, 0.00)
54.67983;Left Controller;(-0.21, 0.74, 5.59);(334.20, 61.80, 0.00)
54.67983;Rubber Cube;(-0.14, 0.72, 5.63);(351.30, 10.54, 21.84);True;Right Hand
54.89741;Rubber Cube;(0.19, 0.72, 9.68);(351.30, 10.34, 21.84);False;
55.19426;Right Hand Presence Physics;(0.45, 0.74, 9.53);(3.60, 59.40, 0.00)
55.19426;Left Hand Presence Physics;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
55.19426;Right Controller;(0.45, 0.74, 9.53);(3.60, 59.40, 0.00)
55.19426;Left Controller;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
55.19426;Rubber Cube;(0.36, 0.72, 9.64);(351.30, 40.34, 21.84);False;
55.69446;Right Hand Presence Physics;(0.44, 0.74, 9.53);(357.20, 78.80, 0.00)
55.69446;Left Hand Presence Physics;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
55.69446;Right Controller;(0.45, 0.74, 9.53);(356.80, 77.80, 0.00)
55.69446;Left Controller;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
55.69446;Rubber Cube;(0.36, 0.72, 9.64);(351.30, 40.34, 21.84);False;
56.19588;Right Hand Presence Physics;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
56.19588;Left Hand Presence Physics;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
56.19588;Right Controller;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
56.19588;Left Controller;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
56.19588;Rubber Cube;(0.36, 0.72, 9.64);(351.30, 40.34, 21.84);False;
56.69618;Right Hand Presence Physics;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
56.69618;Left Hand Presence Physics;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
56.69618;Right Controller;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
56.69618;Left Controller;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
56.69618;Rubber Cube;(0.36, 0.72, 9.64);(351.30, 40.34, 21.84);False;
57.19669;Right Hand Presence Physics;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
57.19669;Left Hand Presence Physics;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
57.19669;Right Controller;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
57.19669;Left Controller;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
57.19669;Rubber Cube;(0.36, 0.72, 9.64);(351.30, 40.34, 21.84);False;
57.69806;Right Hand Presence Physics;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
57.69806;Left Hand Presence Physics;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
57.69806;Right Controller;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
57.69806;Left Controller;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
57.69806;Rubber Cube;(0.36, 0.72, 9.64);(351.30, 40.34, 21.84);False;
58.19905;Right Hand Presence Physics;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
58.19905;Left Hand Presence Physics;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
58.19905;Right Controller;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
58.19905;Left Controller;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
58.19905;Rubber Cube;(0.36, 0.72, 9.64);(351.30, 40.34, 21.84);False;
58.69914;Right Hand Presence Physics;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
58.69914;Left Hand Presence Physics;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
58.69914;Right Controller;(0.45, 0.74, 9.53);(352.60, 58.80, 0.00)
58.69914;Left Controller;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
58.69914;Rubber Cube;(0.36, 0.72, 9.64);(351.30, 40.34, 21.84);False;
59.19921;Right Hand Presence Physics;(0.45, 0.74, 9.53);(351.80, 56.80, 0.00)
59.19921;Left Hand Presence Physics;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
59.19921;Right Controller;(0.45, 0.74, 9.53);(351.80, 56.80, 0.00)
59.19921;Left Controller;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
59.19921;Rubber Cube;(0.36, 0.72, 9.64);(351.30, 40.34, 21.84);False;
59.70046;Right Hand Presence Physics;(0.45, 0.74, 9.53);(351.60, 55.80, 0.00)
59.70046;Left Hand Presence Physics;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
59.70046;Right Controller;(0.45, 0.74, 9.53);(351.60, 55.80, 0.00)
59.70046;Left Controller;(0.28, 0.74, 9.64);(334.20, 91.60, 0.00)
59.70046;Rubber Cube;(0.36, 0.72, 9.64);(351.30, 40.34, 21.84);False;
60.2005;Right Hand Presence Physics;(5.29, 0.74, 12.70);(351.60, 78.20, 0.00)
