Timestamp;Name;Position;Rotation;Grabbed;Hand
0;Right Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Left Hand Presence Physics;(0.00, 0.17, 0.00);(0.00, 0.00, 0.00)
0;Right Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
0;Left Controller;(0.00, 1.36, 0.00);(0.00, 0.00, 0.00)
39,93507;Left Hand Presence Physics;(0.98, 0.67, 5.11);(340.93, 346.41, 300.86)
39,93507;Right Controller;(1.19, 0.81, 5.28);(319.29, 329.21, 332.76)
39,93507;Left Controller;(0.98, 0.68, 5.11);(341.12, 346.50, 300.70)
39,93507;Rubber Cube;(-2.18, 0.14, 5.79);(329.79, 59.52, 13.58);False;
40,43637;Right Hand Presence Physics;(1.18, 0.81, 5.28);(319.20, 328.66, 333.37)
40,43637;Left Hand Presence Physics;(0.99, 0.66, 5.11);(345.99, 346.16, 300.15)
40,43637;Right Controller;(1.18, 0.81, 5.28);(319.18, 328.63, 333.37)
40,43637;Left Controller;(0.99, 0.66, 5.11);(345.98, 346.26, 300.08)
40,43637;Rubber Cube;(-2.61, 0.07, 6.25);(333.08, 220.17, 90.77);False;
40,93727;Right Hand Presence Physics;(1.18, 0.81, 5.28);(319.28, 328.53, 333.51)
40,93727;Left Hand Presence Physics;(0.99, 0.65, 5.11);(350.94, 347.93, 304.24)
40,93727;Right Controller;(1.18, 0.81, 5.28);(319.30, 328.52, 333.52)
40,93727;Left Controller;(0.99, 0.65, 5.11);(351.04, 347.98, 304.20)
40,93727;Rubber Cube;(-2.78, 0.05, 6.37);(0.00, 315.15, 90.00);False;
41,43852;Right Hand Presence Physics;(1.18, 0.81, 5.28);(319.37, 328.47, 333.59)
41,43852;Left Hand Presence Physics;(0.99, 0.63, 5.12);(355.02, 348.40, 304.53)
41,43852;Right Controller;(1.18, 0.81, 5.28);(319.38, 328.47, 333.58)
41,43852;Left Controller;(0.99, 0.63, 5.12);(355.03, 348.40, 304.52)
41,43852;Rubber Cube;(-2.78, 0.05, 6.37);(0.00, 315.11, 90.00);False;
41,9397;Right Hand Presence Physics;(1.19, 0.81, 5.28);(317.62, 329.18, 333.75)
41,9397;Left Hand Presence Physics;(0.97, 0.64, 5.09);(352.90, 344.75, 296.61)
41,9397;Right Controller;(1.19, 0.81, 5.28);(317.59, 329.19, 333.74)
41,9397;Left Controller;(0.97, 0.65, 5.09);(353.10, 344.59, 296.28)
41,9397;Rubber Cube;(-2.78, 0.05, 6.37);(0.00, 315.11, 90.00);False;
42,44104;Right Hand Presence Physics;(1.13, 0.81, 5.09);(316.95, 329.21, 333.47)
42,44104;Left Hand Presence Physics;(0.83, 0.75, 4.84);(327.17, 318.55, 328.16)
42,44104;Right Controller;(1.12, 0.81, 5.06);(316.93, 329.19, 333.48)
42,44104;Left Controller;(0.81, 0.75, 4.80);(326.71, 317.52, 329.48)
42,44104;Rubber Cube;(-2.78, 0.05, 6.37);(0.00, 315.11, 90.00);False;
42,94239;Right Hand Presence Physics;(0.16, 0.81, 4.52);(316.79, 329.09, 333.67)
42,94239;Left Hand Presence Physics;(-0.22, 0.79, 4.18);(322.76, 299.19, 348.29)
42,94239;Right Controller;(0.12, 0.81, 4.52);(316.79, 329.11, 333.65)
42,94239;Left Controller;(-0.26, 0.79, 4.18);(322.64, 298.77, 348.70)
42,94239;Rubber Cube;(-2.78, 0.05, 6.37);(0.00, 315.11, 90.00);False;
43,44308;Right Hand Presence Physics;(-1.08, 0.81, 4.41);(316.82, 328.96, 333.91)
43,44308;Left Hand Presence Physics;(-1.51, 0.82, 4.02);(317.59, 286.94, 339.04)
43,44308;Right Controller;(-1.11, 0.81, 4.41);(316.82, 328.88, 333.98)
43,44308;Left Controller;(-1.55, 0.83, 4.01);(317.40, 286.04, 337.83)
43,44308;Rubber Cube;(-2.78, 0.05, 6.37);(0.00, 315.11, 90.00);False;
43,94426;Right Hand Presence Physics;(-1.30, 0.81, 4.42);(316.67, 328.27, 334.83)
43,94426;Left Hand Presence Physics;(-1.81, 0.65, 4.02);(335.37, 287.98, 311.13)
43,94426;Right Controller;(-1.30, 0.81, 4.42);(316.69, 328.27, 334.83)
43,94426;Left Controller;(-1.79, 0.58, 4.00);(359.49, 284.34, 301.98)
43,94426;Rubber Cube;(-2.78, 0.05, 6.37);(0.00, 315.11, 90.00);False;
44,44571;Right Hand Presence Physics;(-1.29, 0.81, 4.43);(317.16, 328.52, 334.72)
44,44571;Left Hand Presence Physics;(-1.76, 0.67, 3.97);(353.12, 284.69, 300.13)
44,44571;Right Controller;(-1.29, 0.81, 4.43);(317.15, 328.52, 334.70)
44,44571;Left Controller;(-1.76, 0.67, 3.97);(352.63, 284.69, 300.34)
44,44571;Rubber Cube;(-2.78, 0.05, 6.37);(0.00, 315.11, 90.00);False;
